Stage alignment:[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11]].
Total Constraints within Device:69336, Redundant Constraints:1296.
Gurobi Solver Solving...
Result Found Cost: 575.00.
MinExeTime:1682.0.
f_18_2,242.0.
b_18_2,1142.0.
w_18_2,1350.0.
f_19_2,254.0.
b_19_2,1162.0.
w_19_2,1376.0.
f_20_2,266.0.
b_20_2,1188.0.
w_20_2,1428.0.
f_21_2,278.0.
b_21_2,1220.0.
w_21_2,1434.0.
f_22_2,290.0.
b_22_2,1246.0.
w_22_2,1440.0.
f_23_2,302.0.
b_23_2,1266.0.
w_23_2,1466.0.
f_24_2,578.0.
b_24_2,1298.0.
w_24_2,1492.0.
f_25_2,616.0.
b_25_2,1330.0.
w_25_2,1518.0.
f_26_2,656.0.
b_26_2,1356.0.
w_26_2,1544.0.
f_27_2,694.0.
b_27_2,1388.0.
w_27_2,1628.0.
f_28_2,752.0.
b_28_2,1408.0.
w_28_2,1634.0.
f_29_2,790.0.
b_29_2,1446.0.
w_29_2,1640.0.
f_30_2,860.0.
b_30_2,1472.0.
w_30_2,1646.0.
f_31_2,898.0.
b_31_2,1498.0.
w_31_2,1652.0.
f_32_2,956.0.
b_32_2,1524.0.
w_32_2,1658.0.
f_33_2,994.0.
b_33_2,1550.0.
w_33_2,1664.0.
f_34_2,1032.0.
b_34_2,1582.0.
w_34_2,1670.0.
f_35_2,1064.0.
b_35_2,1608.0.
w_35_2,1676.0.
f_0_3,39.0.
b_0_3,347.0.
w_0_3,367.0.
f_1_3,51.0.
b_1_3,501.0.
w_1_3,603.0.
f_2_3,63.0.
b_2_3,537.0.
w_2_3,641.0.
f_3_3,75.0.
b_3_3,571.0.
w_3_3,725.0.
f_4_3,87.0.
b_4_3,609.0.
w_4_3,743.0.
f_5_3,99.0.
b_5_3,647.0.
w_5_3,829.0.
f_6_3,111.0.
b_6_3,681.0.
w_6_3,867.0.
f_7_3,123.0.
b_7_3,705.0.
w_7_3,925.0.
f_8_3,135.0.
b_8_3,749.0.
w_8_3,963.0.
f_9_3,147.0.
b_9_3,769.0.
w_9_3,1001.0.
f_10_3,159.0.
b_10_3,809.0.
w_10_3,1039.0.
f_11_3,171.0.
b_11_3,847.0.
w_11_3,1057.0.
f_12_3,183.0.
b_12_3,905.0.
w_12_3,1115.0.
f_13_3,195.0.
b_13_3,931.0.
w_13_3,1265.0.
f_14_3,207.0.
b_14_3,981.0.
w_14_3,1297.0.
f_15_3,219.0.
b_15_3,1019.0.
w_15_3,1323.0.
f_16_3,231.0.
b_16_3,1063.0.
w_16_3,1361.0.
f_17_3,243.0.
b_17_3,1095.0.
w_17_3,1413.0.
f_18_3,255.0.
b_18_3,1121.0.
w_18_3,1465.0.
f_19_3,267.0.
b_19_3,1141.0.
w_19_3,1471.0.
f_20_3,279.0.
b_20_3,1167.0.
w_20_3,1497.0.
f_21_3,291.0.
b_21_3,1187.0.
w_21_3,1523.0.
f_22_3,303.0.
b_22_3,1225.0.
w_22_3,1555.0.
f_23_3,335.0.
b_23_3,1245.0.
w_23_3,1581.0.
f_24_3,591.0.
b_24_3,1277.0.
w_24_3,1607.0.
f_25_3,629.0.
b_25_3,1303.0.
w_25_3,1613.0.
f_26_3,669.0.
b_26_3,1335.0.
w_26_3,1619.0.
f_27_3,731.0.
b_27_3,1367.0.
w_27_3,1625.0.
f_28_3,793.0.
b_28_3,1387.0.
w_28_3,1631.0.
f_29_3,835.0.
b_29_3,1419.0.
w_29_3,1637.0.
f_30_3,873.0.
b_30_3,1445.0.
w_30_3,1643.0.
f_31_3,951.0.
b_31_3,1477.0.
w_31_3,1649.0.
f_32_3,969.0.
b_32_3,1503.0.
w_32_3,1655.0.
f_33_3,1007.0.
b_33_3,1529.0.
w_33_3,1661.0.
f_34_3,1045.0.
b_34_3,1561.0.
w_34_3,1670.0.
f_35_3,1083.0.
b_35_3,1587.0.
w_35_3,1676.0.
f_0_4,52.0.
b_0_4,326.0.
w_0_4,474.0.
f_1_4,64.0.
b_1_4,480.0.
w_1_4,616.0.
f_2_4,76.0.
b_2_4,516.0.
w_2_4,674.0.
f_3_4,88.0.
b_3_4,542.0.
w_3_4,722.0.
f_4_4,100.0.
b_4_4,562.0.
w_4_4,780.0.
f_5_4,112.0.
b_5_4,622.0.
w_5_4,842.0.
f_6_4,124.0.
b_6_4,654.0.
w_6_4,880.0.
f_7_4,136.0.
b_7_4,684.0.
w_7_4,944.0.
f_8_4,148.0.
b_8_4,728.0.
w_8_4,982.0.
f_9_4,160.0.
b_9_4,748.0.
w_9_4,1000.0.
f_10_4,172.0.
b_10_4,786.0.
w_10_4,1038.0.
f_11_4,184.0.
b_11_4,818.0.
w_11_4,1076.0.
f_12_4,196.0.
b_12_4,848.0.
w_12_4,1134.0.
f_13_4,208.0.
b_13_4,898.0.
w_13_4,1244.0.
f_14_4,220.0.
b_14_4,924.0.
w_14_4,1250.0.
f_15_4,232.0.
b_15_4,950.0.
w_15_4,1276.0.
f_16_4,244.0.
b_16_4,1006.0.
w_16_4,1360.0.
f_17_4,256.0.
b_17_4,1044.0.
w_17_4,1386.0.
f_18_4,268.0.
b_18_4,1082.0.
w_18_4,1418.0.
f_19_4,280.0.
b_19_4,1114.0.
w_19_4,1444.0.
f_20_4,292.0.
b_20_4,1140.0.
w_20_4,1586.0.
f_21_4,304.0.
b_21_4,1166.0.
w_21_4,1592.0.
f_22_4,346.0.
b_22_4,1204.0.
w_22_4,1598.0.
f_23_4,358.0.
b_23_4,1224.0.
w_23_4,1604.0.
f_24_4,604.0.
b_24_4,1256.0.
w_24_4,1610.0.
f_25_4,642.0.
b_25_4,1282.0.
w_25_4,1616.0.
f_26_4,710.0.
b_26_4,1314.0.
w_26_4,1622.0.
f_27_4,768.0.
b_27_4,1340.0.
